Año,Relación víctima-femicida,Categoría Red Chilena,Antecedentes ley VIF,Sernam,Tipificación penal,Situación judicial: estado femicida
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio,Prisión preventiva
2020,Hijo,Femicidio íntimo familiar,No,No,Parricidio,Formalizado
2020,Cónyuge,Femicidio íntimo,No,Si,Femicidio,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio,Detenido
2020,Ex conviviente,Femicidio íntimo,Medida cautelar,Si,Femicidio,Deceso
2020,Ex conviviente,Femicidio íntimo,No,No,NA,Impune
2020,Ex pareja,Femicidio íntimo,No,Si,Femicidio,Detenido
2020,Pareja,Femicidio íntimo,No,No,Sin imputado,Impune
2020,Ex conviviente,Femicidio íntimo,No,Si,Femicidio,Prisión preventiva
2020,Conocido,Femicidio no íntimo,No,No,Homicidio califitcado,Detenido
2020,Cónyuge,Femicidio íntimo,Medida cautelar,Si,Femicidio íntimo,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2020,Ex pareja,Femicidio íntimo,NA,Si,Femicidio íntimo,Deceso
2020,Ex cónyuge,Femicidio íntimo,Denuncia por VIF,Si,Femicidio íntimo,Deceso
2020,Ex conviviente,Femicidio íntimo,NA,Si,Femicidio íntimo,Deceso
2020,Cónyuge,Femicidio íntimo,NA,Si,Femicidio íntimo,Prisión preventiva
2020,Pareja,Femicidio íntimo,Denuncia por VIF,Si,Femicidio íntimo,Prisión preventiva
2020,Se investiga,Desconocido,NA,No,Sin imputado,Prófugo
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2020,Ex pareja,Femicidio íntimo,Medida cautelar,Si,Femicidio íntimo,Prisión preventiva
2020,Conviviente,Femicidio íntimo,Medida cautelar,Si,Femicidio íntimo,Prisión preventiva
2020,Ex conviviente,Femicidio íntimo,Medida cautelar,Si,Femicidio íntimo,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2020,Cliente,Femicidio no íntimo,No,Sí,Femicidio no íntimo,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Sí,Femicidio íntimo,Prisión preventiva
2020,Padrastro,Femicidio íntimo familiar,No,Si,Violación con femicidio,Prisión preventiva
2020,Cónyuge,Femicidio íntimo,No,Si,Femicidio íntimo,Deceso
2020,Yerno,Femicidio íntimo familiar,No,No,Homicidio,Deceso
2020,Ex pareja,Femicidio íntimo,Medida cautelar,Si,Femicidio,Prisión preventiva
2020,Conviviente,Femicidio íntimo,NA,Si,Femicidio,Prisión preventiva
2020,Cónyuge,Femicidio íntimo,Denuncia por VIF,Si,Femicidio,Detenido
2020,Ex pareja,Femicidio íntimo,Medida cautelar,Si,Femicidio,Prisión preventiva
2020,Hijo,Femicidio íntimo familiar,No,No,Parricidio,Prisión preventiva
2020,Hermano,Femicidio íntimo familiar,No,No,Homicidio simple,Prisión preventiva
2020,Conocido,Femicidio no íntimo,No,No,Conducción en estado de ebriedad,Arresto domiciliario
2020,Primo,Femicidio íntimo familiar,No,Si,Violación con femicidio,Prisión preventiva
2020,Pareja,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2020,Conviviente,Femicidio íntimo,Denuncia por VIF,Si,Femicidio íntimo,Prisión preventiva
2020,Sobrino,Femicidio íntimo familiar,No,Si,Violación con homicidio,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2020,Hermano,Femicidio íntimo familiar,No,No,Homicidio calificado,Prisión preventiva
2020,Conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
