Location,Period,Sexes,Alcohol,Tobacco,Suicide
Afghanistan,2018,Both sexes,0.21,NA,NA
Afghanistan,2018,Male,0.36,NA,NA
Afghanistan,2018,Female,0.055,NA,NA
Afghanistan,2015,Both sexes,0.21,NA,4.8
Afghanistan,2015,Male,0.35,NA,7.8
Afghanistan,2015,Female,0.054,NA,1.5
Afghanistan,2010,Both sexes,0.21,NA,5.1
Afghanistan,2010,Male,0.36,NA,8.6
Afghanistan,2010,Female,0.054,NA,1.4
Albania,2018,Both sexes,7.17,29.2,NA
Albania,2018,Male,11.63,50.5,NA
Albania,2018,Female,2.68,7.9,NA
Albania,2015,Both sexes,6.74,29.9,6
Albania,2015,Male,10.92,51.4,7.6
Albania,2015,Female,2.53,8.3,4.4
Albania,2010,Both sexes,7.69,31.1,7.8
Albania,2010,Male,12.47,53.2,9.5
Albania,2010,Female,2.98,9.1,6.1
Albania,2005,Both sexes,7.65,32.7,6.7
Albania,2005,Male,12.41,55.3,7.7
Albania,2005,Female,2.96,10,5.7
Albania,2000,Both sexes,6.57,34.2,5.5
Albania,2000,Male,10.6,57.4,7.4
Albania,2000,Female,2.5,11.1,3.5
Algeria,2018,Both sexes,0.95,18.8,NA
Algeria,2018,Male,1.63,36.3,NA
Algeria,2018,Female,0.25,1.4,NA
Algeria,2015,Both sexes,0.93,19.3,3.2
Algeria,2015,Male,1.61,37,4.8
Algeria,2015,Female,0.25,1.5,1.7
Algeria,2010,Both sexes,0.65,20,3.3
Algeria,2010,Male,1.12,38.3,4.9
Algeria,2010,Female,0.18,1.8,1.8
Algeria,2005,Both sexes,0.81,21.1,3.8
Algeria,2005,Male,1.39,40.2,5.3
Algeria,2005,Female,0.22,2,2.2
Algeria,2000,Both sexes,0.58,22.4,4.1
Algeria,2000,Male,1,42.4,5.6
Algeria,2000,Female,0.16,2.4,2.5
Andorra,2018,Both sexes,11.02,33.8,NA
Andorra,2018,Male,17.17,38.1,NA
Andorra,2018,Female,5.19,29.5,NA
Andorra,2015,Both sexes,11.01,34.2,NA
Andorra,2015,Male,17.16,38.8,NA
Andorra,2015,Female,5.19,29.6,NA
Andorra,2010,Both sexes,11.11,34.7,NA
Andorra,2010,Male,17.13,39.9,NA
Andorra,2010,Female,5.3,29.5,NA
Andorra,2005,Both sexes,12.55,35.4,NA
Andorra,2005,Male,19.18,41.2,NA
Andorra,2005,Female,6.2,29.6,NA
Andorra,2000,Both sexes,13.28,36.3,NA
Andorra,2000,Male,20.35,42.6,NA
Andorra,2000,Female,6.57,29.9,NA
Angola,2018,Both sexes,6.94,NA,NA
Angola,2018,Male,11.05,NA,NA
Angola,2018,Female,3.1,NA,NA
Angola,2015,Both sexes,7.96,NA,5
Angola,2015,Male,12.64,NA,7.5
Angola,2015,Female,3.58,NA,2.6
Angola,2010,Both sexes,8.16,NA,5.7
Angola,2010,Male,12.92,NA,8.7
Angola,2010,Female,3.69,NA,2.8
Angola,2005,Both sexes,4.89,NA,7.2
Angola,2005,Male,7.81,NA,11
Angola,2005,Female,2.15,NA,3.7
Angola,2000,Both sexes,2.76,NA,7.9
Angola,2000,Male,4.42,NA,11.9
Angola,2000,Female,1.2,NA,4
Antigua and Barbuda,2018,Both sexes,6.38,NA,NA
Antigua and Barbuda,2018,Male,10.26,NA,NA
Antigua and Barbuda,2018,Female,2.9,NA,NA
Antigua and Barbuda,2015,Both sexes,5.89,NA,0.8
Antigua and Barbuda,2015,Male,9.49,NA,0
Antigua and Barbuda,2015,Female,2.67,NA,1.5
Antigua and Barbuda,2010,Both sexes,5.6,NA,0.3
Antigua and Barbuda,2010,Male,9.05,NA,0.5
Antigua and Barbuda,2010,Female,2.53,NA,0
Antigua and Barbuda,2005,Both sexes,5.37,NA,1.2
Antigua and Barbuda,2005,Male,8.63,NA,2.4
Antigua and Barbuda,2005,Female,2.45,NA,0
Antigua and Barbuda,2000,Both sexes,5.13,NA,2
Antigua and Barbuda,2000,Male,8.37,NA,4.2
Antigua and Barbuda,2000,Female,2.31,NA,0.1
Argentina,2018,Both sexes,9.65,21.8,NA
Argentina,2018,Male,14.94,28.2,NA
Argentina,2018,Female,4.71,15.4,NA
Argentina,2015,Both sexes,9.55,24.6,8.8
Argentina,2015,Male,14.79,31.3,14.5
Argentina,2015,Female,4.66,17.9,3.4
Argentina,2010,Both sexes,9.09,30.1,8.7
Argentina,2010,Male,14.09,37.2,14.3
Argentina,2010,Female,4.43,22.9,3.3
Argentina,2005,Both sexes,8.66,37.1,9
Argentina,2005,Male,13.5,44.6,14.4
Argentina,2005,Female,4.16,29.7,3.9
Argentina,2000,Both sexes,8.75,46.2,9.5
Argentina,2000,Male,13.66,53.5,15.6
Argentina,2000,Female,4.17,39,3.7
Armenia,2018,Both sexes,5.55,26.7,NA
Armenia,2018,Male,9.14,51.8,NA
Armenia,2018,Female,2.55,1.6,NA
Armenia,2015,Both sexes,5.84,27.9,7
Armenia,2015,Male,9.63,54.1,11.5
Armenia,2015,Female,2.69,1.7,3
Armenia,2010,Both sexes,5.69,30,6
Armenia,2010,Male,9.4,58.2,10.1
Armenia,2010,Female,2.63,1.9,2.4
Armenia,2005,Both sexes,5.79,32.3,4.4
Armenia,2005,Male,9.54,62.4,7.4
Armenia,2005,Female,2.65,2.2,1.7
Armenia,2000,Both sexes,4.23,34.3,3.3
Armenia,2000,Male,7.02,66.1,5.5
Armenia,2000,Female,1.92,2.6,1.3
Australia,2018,Both sexes,10.51,16.2,NA
Australia,2018,Male,15.96,18.7,NA
Australia,2018,Female,5.18,13.6,NA
Australia,2015,Both sexes,10.83,17.7,13.8
Australia,2015,Male,16.44,20.3,20.4
Australia,2015,Female,5.33,15.1,7.2
Australia,2010,Both sexes,12.39,20.4,12.5
Australia,2010,Male,18.73,22.9,18.6
Australia,2010,Female,6.13,17.9,6.3
Australia,2005,Both sexes,12.08,23.8,12.3
Australia,2005,Male,18.34,26.4,18.6
Australia,2005,Female,5.96,21.3,6
Australia,2000,Both sexes,11.72,27.6,13.2
Australia,2000,Male,17.86,29.9,20.4
Australia,2000,Female,5.73,25.2,6.1
Austria,2018,Both sexes,11.96,29.1,NA
Austria,2018,Male,18.49,30.4,NA
Austria,2018,Female,5.77,27.7,NA
Austria,2015,Both sexes,12.07,31.5,16
Austria,2015,Male,18.7,33.2,24.9
Austria,2015,Female,5.82,29.7,7.5
Austria,2010,Both sexes,12.2,36.1,16
Austria,2010,Male,18.96,38.8,25
Austria,2010,Female,5.89,33.5,7.5
Austria,2005,Both sexes,12.79,41.7,17.3
Austria,2005,Male,19.89,45.4,26.6
Austria,2005,Female,6.21,38,8.6
Austria,2000,Both sexes,13.12,48.1,20
Austria,2000,Male,20.42,53,30
Austria,2000,Female,6.37,43.1,10.5
Azerbaijan,2018,Both sexes,4.41,19.6,NA
Azerbaijan,2018,Male,7.51,39,NA
Azerbaijan,2018,Female,1.46,0.2,NA
Azerbaijan,2015,Both sexes,4.58,20.7,2.7
Azerbaijan,2015,Male,7.82,41.1,4.3
Azerbaijan,2015,Female,1.52,0.2,1.1
Azerbaijan,2010,Both sexes,2.97,22.8,3.1
Azerbaijan,2010,Male,5.07,45.3,5
Azerbaijan,2010,Female,0.99,0.2,1.2
Azerbaijan,2005,Both sexes,1.81,25.3,3.2
Azerbaijan,2005,Male,3.12,50.2,5.2
Azerbaijan,2005,Female,0.59,0.3,1.3
Azerbaijan,2000,Both sexes,3.45,28.1,2.2
Azerbaijan,2000,Male,5.99,55.9,3.5
Azerbaijan,2000,Female,1.14,0.4,0.9
Bahamas,2018,Both sexes,4.78,10.9,NA
Bahamas,2018,Male,7.62,18.6,NA
Bahamas,2018,Female,2.12,3.2,NA
Bahamas,2015,Both sexes,4.55,11,1.8
Bahamas,2015,Male,7.24,18.5,3
Bahamas,2015,Female,2.03,3.4,0.5
Bahamas,2010,Both sexes,4.12,11.1,2
Bahamas,2010,Male,6.55,18.4,3.4
Bahamas,2010,Female,1.85,3.8,0.6
Bahamas,2005,Both sexes,4.28,11.3,2.2
Bahamas,2005,Male,6.78,18.4,3.8
Bahamas,2005,Female,1.96,4.3,0.7
Bahamas,2000,Both sexes,5.58,11.8,2
Bahamas,2000,Male,8.82,18.7,3.4
Bahamas,2000,Female,2.59,4.8,0.7
Bahrain,2018,Both sexes,1.09,25.1,NA
Bahrain,2018,Male,1.5,41.5,NA
Bahrain,2018,Female,0.32,8.6,NA
Bahrain,2015,Both sexes,1.3,25.4,5.9
Bahrain,2015,Male,1.8,41.8,8.3
Bahrain,2015,Female,0.38,9.1,2
Bahrain,2010,Both sexes,1.69,26,5.2
Bahrain,2010,Male,2.33,42.2,6.9
Bahrain,2010,Female,0.49,9.9,2.4
Bahrain,2005,Both sexes,1.76,27,7
Bahrain,2005,Male,2.49,43.2,9.9
Bahrain,2005,Female,0.53,10.9,2.7
Bahrain,2000,Both sexes,1.74,28.1,6.7
Bahrain,2000,Male,2.53,44.1,9.4
Bahrain,2000,Female,0.54,12,3.1
Bangladesh,2018,Both sexes,0.019,39.1,NA
Bangladesh,2018,Male,0.033,60.6,NA
Bangladesh,2018,Female,0.005,17.7,NA
Bangladesh,2015,Both sexes,0.021,40.7,6.1
Bangladesh,2015,Male,0.036,61.3,4.7
Bangladesh,2015,Female,0.006,20.2,7.4
Bangladesh,2010,Both sexes,0.16,43.5,6.4
Bangladesh,2010,Male,0.28,62.4,4.3
Bangladesh,2010,Female,0.044,24.7,8.5
Bangladesh,2005,Both sexes,0.16,47.2,6.3
Bangladesh,2005,Male,0.27,63.8,4.5
Bangladesh,2005,Female,0.043,30.6,8.2
Bangladesh,2000,Both sexes,0.23,51.5,6.7
Bangladesh,2000,Male,0.39,65.3,5.7
Bangladesh,2000,Female,0.061,37.8,7.7
Barbados,2018,Both sexes,9.69,8.7,NA
Barbados,2018,Male,15.98,15,NA
Barbados,2018,Female,4.09,2.3,NA
Barbados,2015,Both sexes,9.33,8.9,0.7
Barbados,2015,Male,15.38,15.4,1
Barbados,2015,Female,3.93,2.4,0.5
Barbados,2010,Both sexes,7.95,9.3,2.1
Barbados,2010,Male,13.09,16.1,3
Barbados,2010,Female,3.35,2.6,1.3
Barbados,2005,Both sexes,7.4,9.8,3.7
Barbados,2005,Male,12.16,16.9,3.9
Barbados,2005,Female,3.13,2.8,3.4
Barbados,2000,Both sexes,7.11,10.5,2.1
Barbados,2000,Male,11.69,17.9,3.7
Barbados,2000,Female,3,3.1,0.6
Belarus,2018,Both sexes,11.45,26.6,NA
Belarus,2018,Male,18.71,42.8,NA
Belarus,2018,Female,5.38,10.4,NA
Belarus,2015,Both sexes,12,28,26.3
Belarus,2015,Male,19.5,45.3,47
Belarus,2015,Female,5.72,10.7,8.3
Belarus,2010,Both sexes,17.43,31,38.2
Belarus,2010,Male,27.68,50.7,68.1
Belarus,2010,Female,8.83,11.2,12.3
Belarus,2005,Both sexes,15.3,34,45.1
Belarus,2005,Male,24.65,56.2,80
